CNPJ_FUNDO,DT_COMPTC,VL_PATRIM_LIQ
08.971.898/0001-57,2011-09-15,688161143.55
08.971.898/0001-57,2011-09-16,687073642.34
08.971.898/0001-57,2011-09-19,686499504.72
08.971.898/0001-57,2011-09-20,686451801.03
08.971.898/0001-57,2011-09-21,686082778.97
08.971.898/0001-57,2011-09-22,689906641.97
08.971.898/0001-57,2011-09-23,691343153.14
08.971.898/0001-57,2011-09-26,690643361.92
08.971.898/0001-57,2011-09-27,688607614.68
08.971.898/0001-57,2011-09-28,689233099.68
08.971.898/0001-57,2011-09-29,689325414.45
08.971.898/0001-57,2011-09-30,687993803.11
08.971.898/0001-57,2011-10-03,686918763.99
08.971.898/0001-57,2011-10-04,686005654.1
08.971.898/0001-57,2011-10-05,686689980.87
08.971.898/0001-57,2011-10-06,687736741.72
08.971.898/0001-57,2011-10-07,684337741.1
08.971.898/0001-57,2011-10-10,687030975.44
08.971.898/0001-57,2011-10-11,686149714.39
08.971.898/0001-57,2011-10-13,687580017.05
08.971.898/0001-57,2011-10-14,687015922.27
08.971.898/0001-57,2011-10-17,685229998.01
08.971.898/0001-57,2011-10-18,685140273.5
08.971.898/0001-57,2011-10-19,684536132.69
08.971.898/0001-57,2011-10-20,682330349.02
08.971.898/0001-57,2011-10-21,680923639.27
08.971.898/0001-57,2011-10-24,677644190.4
08.971.898/0001-57,2011-10-25,673686879.05
08.971.898/0001-57,2011-10-26,678022173.48
08.971.898/0001-57,2011-10-27,675437935.68
08.971.898/0001-57,2011-10-28,676691952.55
08.971.898/0001-57,2011-10-31,673365148.58
08.971.898/0001-57,2011-11-01,666209909.31
08.971.898/0001-57,2011-11-03,668027185.17
08.971.898/0001-57,2011-11-04,664086481.4
08.971.898/0001-57,2011-11-07,664243642.7
08.971.898/0001-57,2011-11-08,660535137.12
08.971.898/0001-57,2011-11-09,660264235.57
08.971.898/0001-57,2011-11-10,656575145.01
08.971.898/0001-57,2011-11-11,654697492.42
08.971.898/0001-57,2011-11-14,653754651.66
08.971.898/0001-57,2011-11-16,646973067.82
08.971.898/0001-57,2011-11-17,644248883
08.971.898/0001-57,2011-11-18,639027433.77
08.971.898/0001-57,2011-11-21,635983620.39
08.971.898/0001-57,2011-11-22,631111717.52
08.971.898/0001-57,2011-11-23,630658645.52
08.971.898/0001-57,2011-11-24,631342497.41
08.971.898/0001-57,2011-11-25,631635942.98
08.971.898/0001-57,2011-11-28,631538493.49
08.971.898/0001-57,2011-11-29,628861488.59
08.971.898/0001-57,2011-11-30,630368412.62
08.971.898/0001-57,2011-12-01,630638306.76
08.971.898/0001-57,2011-12-02,631758060.79
08.971.898/0001-57,2011-12-05,631621261.77
08.971.898/0001-57,2011-12-06,629811689.79
08.971.898/0001-57,2011-12-07,628151507.16
08.971.898/0001-57,2011-12-08,627965856.72
08.971.898/0001-57,2011-12-09,628316432
08.971.898/0001-57,2011-12-12,626624494.25
